Address,Latency (ms)
1.13.7.12:8333,209.44406779661017
100.0.50.189:8333,113.65217391304348
100.1.51.87:8333,110.91428571428571
100.33.143.231:8333,106.2
100.38.235.10:8333,98.0
100.7.57.174:8333,106.97014925373135
100.7.76.170:8333,109.69767441860465
101.100.139.113:8333,300.30357142857144
101.174.7.206:8333,325.0
101.188.95.138:8333,315.3636363636364
101.43.219.104:8333,169.1375464684015
103.111.190.94:8333,200.42105263157896
103.155.93.187:8333,13.444444444444445
103.209.12.144:8333,267.89890710382514
103.231.88.26:57857,278.1875
103.26.16.240:8333,290.8695652173913
103.99.168.130:8333,216.7883008356546
104.10.173.220:8333,180.02797202797203
104.143.2.195:8333,122.88483146067416
104.156.225.206:8333,83.77540106951872
104.165.53.3:8333,525.0
104.165.53.5:8333,506.0
104.165.53.7:8333,469.3333333333333
104.165.53.8:8333,572.4
104.165.54.66:8333,494.5
104.165.54.69:8333,370.0
104.165.55.67:8333,533.2
104.165.57.163:8333,567.0
104.165.57.164:8333,556.3333333333334
104.165.57.166:8333,536.6
104.165.57.169:8333,510.3333333333333
104.165.57.170:8333,587.0
104.165.57.173:8333,451.3333333333333
104.165.59.100:8333,638.3333333333334
104.165.59.99:8333,479.4
104.172.235.227:8333,166.16901408450704
104.191.19.126:8333,126.08163265306122
104.229.25.94:8333,129.82608695652175
104.247.243.82:8333,206.21428571428572
104.248.143.83:8333,8.621118012422361
104.248.157.169:8333,178.84076433121018
104.248.157.8:8332,177.8918918918919
104.248.16.27:8333,5.199453551912568
104.248.199.192:8332,15.9
104.248.245.250:8333,5.0633608815427
104.248.60.35:8333,85.18125
104.248.90.45:8333,17.158774373259053
104.53.92.58:8333,169.08928571428572
104.56.198.125:8333,131.54761904761904
104.62.145.108:8333,826.68
104.62.244.170:8333,123.09695290858726
106.72.39.130:9600,257.5625
107.11.96.20:8333,123.60714285714286
107.180.70.101:8333,98.42168674698796
107.191.33.83:8333,83.04702194357367
107.195.166.98:8333,112.07692307692308
108.163.129.111:8333,93.90204081632653
108.190.43.240:8333,137.35897435897436
108.193.67.74:8333,136.66949152542372
108.198.146.109:8333,1612.138888888889
108.28.114.251:8333,107.64516129032258
108.4.212.136:8333,140.92857142857142
108.49.16.146:8333,112.2439024390244
108.54.250.156:8333,106.0625
108.85.174.65:8333,168.75
109.120.194.136:8333,31.736842105263158
109.147.13.110:8333,30.0
109.156.136.110:8333,52.0
109.164.231.226:8333,19.70769230769231
109.168.144.98:8333,68.0327868852459
109.190.247.5:8333,32.44137931034483
109.190.25.156:8333,99.6923076923077
109.192.157.175:8333,21.68595041322314
109.193.76.200:8333,336.23893805309734
109.202.206.15:8333,10.894736842105264
109.206.168.240:8333,11.541208791208792
109.207.79.248:8333,69.88219178082191
109.228.146.213:8333,26.833333333333332
109.236.81.138:58333,15.172602739726027
109.236.90.117:8333,16.667582417582416
109.236.90.31:8333,14.333333333333334
109.248.206.13:8333,92.24043715846994
109.250.186.141:8334,11.2
109.64.247.186:8333,62.0
112.166.235.107:8333,236.41666666666666
112.19.172.217:8333,224.15942028985506
115.68.109.9:8333,246.8048780487805
116.202.203.168:8333,2.9726962457337884
116.202.51.176:8333,1.2808219178082192
116.202.56.177:8333,4.169398907103825
116.203.151.175:8333,3.3251366120218577
116.203.184.108:8333,3.0
116.203.61.61:8333,110.16986301369863
116.203.87.70:8333,3.0
116.58.171.67:8333,257.09366391184574
119.29.54.159:8333,210.03296703296704
119.8.127.50:8333,188.75
120.244.105.224:8333,256.5
121.4.41.20:8333,230.0
121.45.243.98:8333,313.925
121.98.22.147:8333,318.4854368932039
121.99.240.87:8333,301.1012658227848
122.107.79.181:8333,403.0217391304348
122.222.160.190:8333,266.746835443038
122.53.226.119:8333,258.5208333333333
122.57.81.152:8333,298.0
123.198.205.2:8333,264.42857142857144
123.243.145.125:8333,307.8421052631579
124.171.138.242:8333,312.0833333333333
124.222.123.238:8333,231.2325581395349
