Timestamp (Seconds),NumPeers
1602333730,0
1602333740,0
1602333750,3
1602333760,4
1602333770,5
1602333780,2
1602333790,2
1602333800,2
1602333810,2
1602333820,1
1602333830,1
1602333840,2
1602333850,2
1602333860,6
1602333870,7
1602333880,8
1602333890,8
1602333900,8
1602333910,7
1602333920,7
1602333930,7
1602333940,9
1602333950,9
1602333960,9
1602333970,11
1602333980,11
1602333990,14
1602334001,12
1602334011,10
1602334021,9
1602334031,10
1602334041,10
1602334051,10
1602334061,11
1602334071,11
1602334081,13
1602334091,11
1602334101,11
1602334111,11
1602334121,11
1602334132,11
1602334142,10
1602334152,11
1602334162,13
1602334172,13
1602334182,13
1602334192,13
1602334202,13
1602334212,13
1602334222,13
1602334232,13
1602334242,13
1602334252,13
1602334262,13
1602334272,13
1602334282,14
1602334292,14
1602334302,14
1602334312,14
1602334322,14
1602334332,15
1602334342,15
1602334352,15
1602334362,15
1602334372,15
1602334382,15
1602334392,14
1602334402,15
1602334412,15
1602334422,15
1602334432,15
1602334442,15
1602334452,15
1602334462,15
1602334472,15
1602334482,15
1602334492,15
1602334502,15
1602334512,16
1602334522,16
1602334532,15
1602334542,15
1602334552,15
1602334562,16
1602334573,16
1602334583,16
1602334593,16
1602334603,16
1602334613,17
1602334623,17
1602334633,17
1602334643,17
1602334653,17
1602334663,17
1602334673,17
1602334683,17
1602334693,18
1602334703,18
1602334713,18
1602334723,18
1602334733,17
1602334743,17
1602334753,17
1602334763,17
1602334773,17
1602334783,17
1602334793,17
1602334803,17
1602334813,17
1602334823,17
1602334833,17
1602334843,17
1602334853,17
1602334863,17
1602334873,17
1602334883,17
1602334893,17
1602334903,17
1602334913,17
1602334923,18
1602334933,17
1602334943,17
1602334953,17
1602334963,17
1602334973,17
1602334983,17
1602334993,17
1602335003,17
1602335013,17
1602335023,18
1602335033,17
1602335043,17
1602335053,17
1602335063,17
1602335073,17
1602335083,18
1602335094,17
1602335104,17
1602335114,17
1602335124,17
1602335134,17
1602335144,17
1602335154,17
1602335164,17
1602335174,17
1602335184,17
1602335194,17
1602335204,17
1602335214,18
1602335224,18
1602335234,18
1602335244,18
1602335254,17
1602335264,17
1602335274,17
1602335284,17
1602335294,17
1602335304,17
1602335314,17
1602335324,17
1602335334,18
1602335344,18
1602335354,17
1602335364,17
1602335374,17
1602335384,17
1602335394,17
1602335404,18
1602335414,18
1602335424,17
1602335434,17
1602335444,18
1602335454,18
1602335464,18
1602335474,17
1602335484,17
1602335494,17
1602335504,18
1602335514,18
1602335524,19
1602335534,19
1602335544,19
1602335554,20
1602335564,20
1602335574,19
1602335584,20
1602335595,20
1602335605,20
1602335615,20
1602335625,20
1602335635,20
1602335645,20
1602335655,20
1602335665,20
1602335675,23
1602335685,22
1602335695,22
1602335705,21
1602335715,21
1602335725,21
1602335735,21
1602335745,21
1602335755,20
1602335765,20
1602335775,20
1602335785,20
1602335795,20
1602335805,21
1602335815,22
1602335825,22
1602335835,20
1602335845,21
1602335855,20
1602335865,20
1602335875,20
1602335885,20
1602335895,20
1602335905,20
1602335915,21
1602335925,20
1602335935,20
1602335945,19
1602335955,19
1602335965,19
1602335975,19
1602335985,19
1602335995,19
1602336005,19
1602336015,20
1602336025,20
1602336035,21
1602336045,21
1602336055,20
1602336065,21
1602336075,20
1602336085,20
1602336095,21
1602336106,21
1602336116,22
1602336126,20
1602336136,21
1602336146,21
1602336156,21
1602336166,21
1602336176,21
1602336186,21
1602336196,21
1602336206,21
1602336216,21
1602336226,20
1602336236,21
1602336246,20
1602336256,20
1602336266,20
1602336276,20
1602336286,20
1602336296,20
1602336306,20
1602336316,21
1602336326,20
1602336336,20
1602336346,20
1602336356,20
1602336366,20
1602336376,20
1602336386,20
1602336396,20
1602336406,20
1602336416,20
1602336426,20
1602336436,20
1602336446,20
1602336456,20
1602336466,20
1602336476,20
1602336486,20
1602336496,20
1602336506,21
1602336516,21
1602336526,22
1602336536,22
1602336546,21
1602336556,20
1602336566,21
1602336576,21
1602336586,21
1602336596,21
1602336607,22
1602336617,21
1602336627,20
1602336637,20
1602336647,21
1602336657,21
1602336667,21
1602336677,20
1602336687,20
1602336697,19
1602336707,19
1602336717,19
1602336727,20
1602336737,19
1602336747,19
1602336757,19
1602336767,20
1602336777,20
1602336787,19
1602336797,19
1602336807,19
1602336817,19
1602336827,19
1602336837,19
1602336847,18
1602336857,19
1602336867,20
1602336877,20
1602336887,18
1602336897,18
1602336907,18
1602336917,20
1602336927,20
1602336937,19
1602336947,19
1602336957,19
1602336967,19
1602336977,18
1602336987,17
1602336997,17
1602337007,17
1602337017,17
1602337027,17
1602337037,20
1602337047,20
1602337057,20
1602337067,20
1602337077,20
1602337087,21
1602337098,22
1602337108,21
1602337118,20
1602337128,20
1602337138,20
1602337148,20
1602337158,20
1602337168,20
1602337178,20
1602337188,20
1602337198,20
1602337208,20
1602337218,20
1602337228,20
1602337238,21
1602337248,20
1602337258,20
1602337268,20
1602337278,20
1602337288,20
1602337298,20
1602337308,22
1602337318,20
1602337328,21
1602337338,20
1602337348,21
1602337358,20
1602337368,20
1602337378,20
1602337388,21
1602337398,20
1602337408,20
1602337418,20
1602337428,20
1602337438,20
1602337448,20
1602337458,20
1602337468,20
1602337478,20
1602337488,20
1602337498,20
1602337508,20
1602337518,20
1602337528,20
1602337538,20
1602337548,20
1602337558,20
1602337568,21
1602337578,21
1602337588,22
1602337598,21
1602337609,21
1602337619,22
1602337629,22
1602337639,21
1602337649,21
1602337659,21
1602337669,20
1602337679,20
1602337689,20
1602337699,20
1602337709,21
1602337719,21
1602337729,20
1602337739,20
1602337749,21
1602337759,21
1602337769,20
1602337779,20
1602337789,21
1602337799,20
1602337809,20
1602337819,21
1602337829,20
1602337839,20
1602337849,20
1602337859,20
1602337869,20
1602337879,20
1602337889,20
1602337899,20
1602337909,20
1602337919,20
1602337929,20
1602337939,20
1602337949,20
1602337959,20
1602337969,21
1602337979,20
1602337989,20
1602337999,20
1602338009,20
1602338019,20
1602338029,20
1602338039,20
1602338049,21
1602338059,22
1602338069,22
1602338079,21
1602338089,21
1602338100,20
1602338110,20
1602338120,21
1602338130,21
1602338140,21
1602338150,21
1602338160,21
1602338170,20
1602338180,20
1602338190,20
1602338200,20
1602338210,20
1602338220,20
1602338230,20
1602338240,20
1602338250,20
1602338260,21
1602338270,21
1602338280,20
1602338290,20
1602338300,20
1602338310,22
1602338320,21
1602338330,20
1602338340,20
1602338350,20
1602338360,21
1602338370,21
1602338380,22
1602338390,21
1602338400,20
1602338410,20
1602338420,20
1602338430,20
1602338440,20
1602338450,20
1602338460,21
1602338470,21
1602338480,20
1602338490,20
1602338500,20
1602338510,20
1602338520,21
1602338530,20
1602338540,20
1602338550,21
1602338560,21
1602338570,20
1602338580,20
1602338590,20
1602338600,21
1602338611,21
1602338621,20
1602338631,20
1602338641,20
1602338651,21
1602338661,19
1602338671,19
1602338681,19
1602338691,19
1602338701,20
1602338711,20
1602338721,19
1602338731,20
1602338741,21
1602338751,21
1602338761,20
1602338771,21
1602338781,21
1602338791,20
1602338801,21
1602338811,20
1602338821,20
1602338831,21
1602338841,20
1602338851,20
1602338861,20
1602338871,20
1602338881,20
1602338891,20
1602338901,20
1602338911,20
1602338921,20
1602338931,20
1602338941,21
1602338951,20
1602338961,21
1602338971,20
1602338981,20
1602338991,20
1602339001,20
1602339011,20
1602339021,20
1602339031,20
1602339041,20
1602339051,20
1602339061,21
1602339071,20
1602339081,20
1602339091,20
1602339101,20
1602339111,20
1602339122,20
1602339132,20
1602339142,20
1602339152,20
1602339162,20
1602339172,20
1602339182,20
1602339192,22
1602339202,20
1602339212,20
1602339222,21
1602339232,20
1602339242,20
1602339252,20
1602339262,20
1602339272,21
1602339282,21
1602339292,22
1602339302,22
1602339312,20
1602339322,20
1602339332,20
1602339342,20
1602339352,20
1602339362,20
1602339372,20
1602339382,21
1602339392,21
1602339402,20
1602339412,20
1602339422,21
1602339432,21
1602339442,20
1602339452,20
1602339462,20
1602339472,20
1602339482,20
1602339492,21
1602339502,21
1602339512,22
1602339522,21
1602339532,21
1602339542,21
1602339552,22
1602339562,22
1602339572,20
1602339582,20
1602339592,20
1602339602,20
1602339612,20
1602339622,20
1602339633,21
1602339643,20
1602339653,20
1602339663,20
1602339673,20
1602339683,20
1602339693,20
1602339703,20
1602339713,20
1602339723,20
1602339733,20
1602339743,20
1602339753,21
1602339763,21
1602339773,20
1602339783,20
1602339793,20
1602339803,20
1602339813,21
1602339823,21
1602339833,21
1602339843,20
1602339853,21
1602339863,21
1602339873,22
1602339883,21
1602339893,21
1602339903,20
1602339913,21
1602339923,20
1602339933,20
1602339943,20
1602339953,20
1602339963,20
1602339973,20
1602339983,21
1602339993,21
1602340003,20
1602340013,20
1602340023,20
1602340033,20
1602340043,20
1602340053,20
1602340063,20
1602340073,20
1602340083,20
1602340093,20
1602340103,20
1602340113,21
1602340124,21
1602340134,21
1602340144,21
1602340154,20
1602340164,21
1602340174,21
1602340184,20
1602340194,20
1602340204,20
1602340214,20
1602340224,20
1602340234,20
1602340244,20
1602340254,20
1602340264,20
1602340274,21
1602340284,20
1602340294,21
1602340304,20
1602340314,20
1602340324,20
1602340334,21
1602340344,20
1602340354,20
1602340364,20
1602340374,20
1602340384,20
1602340394,20
1602340404,20
1602340414,20
1602340424,21
1602340434,22
1602340444,22
1602340454,21
1602340464,20
1602340474,20
1602340484,20
1602340494,20
1602340504,20
1602340514,20
1602340524,20
1602340534,20
1602340544,20
1602340554,20
1602340564,20
1602340574,21
1602340584,21
1602340594,20
1602340604,20
1602340615,20
1602340625,20
1602340635,21
1602340645,20
1602340655,20
1602340665,20
1602340675,20
1602340685,20
1602340695,20
1602340705,20
1602340715,20
1602340725,20
1602340735,20
1602340745,20
1602340755,20
1602340765,20
1602340775,20
1602340785,20
1602340795,20
1602340805,20
1602340815,21
1602340825,21
1602340835,22
1602340845,22
1602340855,22
1602340865,21
1602340875,20
1602340885,20
1602340895,20
1602340905,20
1602340915,21
1602340925,21
1602340935,20
1602340945,20
1602340955,20
1602340965,21
1602340975,20
1602340985,20
1602340995,21
